FECHA,PAÍS,DEPARTAMENTO,MUNICIPIO,DELITO,PAIS VÍCTIMA,GENERO,ZONA,CIRCUNSTANCIASPERSONA
2022-05-08T00:00:00.000,COLOMBIA,BOLÍVAR,Cartagena (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,FEMENINO,URBANA,ESTADOS UNIDOS
2022-05-08T00:00:00.000,COLOMBIA,HUILA,Gigante,ARTÍCULO 239. HURTO PERSONAS,ESPAÑA,MASCULINO,URBANA,ESPAÑA
2022-05-08T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,RURAL,COLOMBIA
2022-05-08T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-05-09T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-05-12T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,BRASIL,MASCULINO,URBANA,BRASIL
2022-05-13T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,ALEMANIA,MASCULINO,URBANA,ALEMANIA
2022-05-14T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,JAPON,MASCULINO,URBANA,JAPON
2022-05-16T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 111. LESIONES PERSONALES,ITALIA,MASCULINO,URBANA,ITALIA
2022-05-16T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-05-17T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
2022-05-18T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
2022-05-31T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,SUIZA,MASCULINO,URBANA,SUIZA
2022-06-01T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,MEXICO,MASCULINO,URBANA,MEXICO
2022-06-01T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),RECUPERACION,MEXICO,MASCULINO,URBANA,MEXICO
2022-06-04T00:00:00.000,COLOMBIA,ANTIOQUIA,Santa Rosa de Osos,ARTÍCULO 103. HOMICIDIO,ESTADOS UNIDOS,MASCULINO,RURAL,ESTADOS UNIDOS
2022-06-04T00:00:00.000,COLOMBIA,ANTIOQUIA,Santa Rosa de Osos,INSPECCION A CADAVER,ESTADOS UNIDOS,MASCULINO,RURAL,ESTADOS UNIDOS
